,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
2018-06-21,2749.76,525.950012,-5.230362017149625,-4.629355357559839,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-22,2754.88,530.400024,-4.896572675301714,-3.607446796910485,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-25,2717.07,532.75,-5.938170740150928,-4.3055705289221535,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-26,2723.06,530.369995,-5.385243480829038,-4.944803554402322,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-27,2699.63,528.969971,-5.991266436371734,-5.02038359424467,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-28,2716.31,529.849976,-5.589597967418925,-5.196020365473908,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-29,2718.37,529.080017,-5.870029675645538,-4.966494349738437,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-07-02,2726.71,526.289978,-5.614901070296163,-6.639820287651288,UNDERPERFORM,251.74900000000002,253.76,254.03400000000002,226.646,121.46799999999999,89.561,1064.098,248.105,136.084,118.412,118.77600000000001,110.807
2018-07-03,2713.22,527.289978,-6.575350012740255,-6.1277247426430925,OUTPERFORM,251.74900000000002,253.76,254.03400000000002,226.646,121.46799999999999,89.561,1064.098,248.105,136.084,118.412,118.77600000000001,110.807
2018-07-05,2736.61,534.969971,-5.795909094038509,-4.541239208452708,OUTPERFORM,251.74900000000002,253.76,254.03400000000002,226.646,121.46799999999999,89.561,1064.098,248.105,136.084,118.412,118.77600000000001,110.807
